Rate coefficients (m3/s)
C1    N2    Elastic                                             
C2    N2    Excitation    0.02 eV                               
C3    N2    Excitation    0.29 eV                               
C4    N2    Excitation    0.29 eV                               
C5    N2    Excitation    0.59 eV                               
C6    N2    Excitation    0.88 eV                               
C7    N2    Excitation    1.17 eV                               
C8    N2    Excitation    1.47 eV                               
C9    N2    Excitation    1.76 eV                               
C10   N2    Excitation    2.06 eV                               
C11   N2    Excitation    2.35 eV                               
C12   N2    Excitation    6.17 eV                               
C13   N2    Excitation    7.00 eV                               
C14   N2    Excitation    7.35 eV                               
C15   N2    Excitation    7.36 eV                               
C16   N2    Excitation    7.80 eV                               
C17   N2    Excitation    8.16 eV                               
C18   N2    Excitation    8.40 eV                               
C19   N2    Excitation    8.55 eV                               
C20   N2    Excitation    8.89 eV                               
C21   N2    Excitation    11.03 eV                              
C22   N2    Excitation    11.87 eV                              
C23   N2    Excitation    12.25 eV                              
C24   N2    Excitation    13.00 eV                              
C25   N2    Ionization    15.60 eV                              
C26   O2    Momentum                                            
C27   O2    Attachment                                          
C28   O2    Attachment                                          
C29   O2    Excitation    0.02 eV                               
C30   O2    Excitation    0.19 eV                               
C31   O2    Excitation    0.19 eV                               
C32   O2    Excitation    0.38 eV                               
C33   O2    Excitation    0.38 eV                               
C34   O2    Excitation    0.57 eV                               
C35   O2    Excitation    0.75 eV                               
C36   O2    Excitation    0.98 eV                               
C37   O2    Excitation    1.63 eV                               
C38   O2    Excitation    4.50 eV                               
C39   O2    Excitation    6.00 eV                               
C40   O2    Excitation    8.40 eV                               
C41   O2    Excitation    9.97 eV                               
C42   O2    Ionization    12.06 eV                              
          R#    E/N (Td) Energy (eV)      C1          C2          C3          C4          C5          C6          C7          C8          C9         C10         C11         C12         C13         C14         C15         C16         C17         C18         C19         C20         C21         C22         C23         C24         C25         C26         C27         C28         C29         C30         C31         C32         C33         C34         C35         C36         C37         C38         C39         C40         C41         C42    
           1   1.000      0.2272      0.2200E-13  0.6693E-16  0.2308E-17  0.1137E-22  0.1428E-25  0.7323E-30  0.9566E-32  0.1217E-31  0.1755E-31  0.6458E-32  0.1367E-33   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.1084E-13  0.2535E-35   0.000      0.8443E-17   0.000      0.1116E-15  0.3288E-17   0.000      0.7649E-19  0.4435E-20  0.1538E-20  0.7380E-26   0.000       0.000       0.000       0.000       0.000    
           2   11.09      0.9583      0.6047E-13  0.4011E-15  0.1499E-15  0.4168E-15  0.1027E-15  0.2770E-16  0.1531E-17  0.4737E-18  0.8776E-20  0.4326E-21  0.7768E-23   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3855E-13  0.5359E-36   0.000      0.3426E-16   0.000      0.3223E-15  0.1234E-15   0.000      0.3549E-16  0.1018E-16  0.1663E-16  0.5339E-18   0.000       0.000       0.000       0.000       0.000    
           3   21.18       1.047      0.6592E-13  0.7742E-15  0.1619E-15  0.1092E-14  0.4182E-15  0.1925E-15  0.3812E-16  0.1836E-16  0.2709E-17  0.4070E-18  0.4861E-19  0.1432E-22  0.2884E-22  0.1148E-21  0.3662E-22  0.8564E-23  0.7033E-23  0.4029E-23  0.7394E-23  0.2974E-23  0.1089E-24  0.5099E-26  0.2231E-27   0.000       0.000      0.4085E-13  0.4525E-36  0.1852E-21  0.3243E-16  0.3069E-20  0.2889E-15  0.1159E-15  0.1419E-20  0.3487E-16  0.1072E-16  0.2298E-16  0.1258E-17  0.1406E-20  0.1363E-20  0.3087E-21  0.1733E-25  0.1602E-26
           4   31.27       1.091      0.6900E-13  0.1198E-14  0.1594E-15  0.1751E-14  0.8007E-15  0.4519E-15  0.1423E-15  0.8021E-16  0.2363E-16  0.5567E-17  0.1179E-17  0.2993E-20  0.7639E-20  0.3160E-19  0.1228E-19  0.3253E-20  0.2753E-20  0.1793E-20  0.3532E-20  0.1767E-20  0.3356E-21  0.1686E-22  0.1783E-23  0.3942E-23  0.1037E-26  0.4169E-13  0.4275E-36  0.2434E-19  0.3110E-16  0.4199E-18  0.2749E-15  0.1110E-15  0.1891E-18  0.3366E-16  0.1053E-16  0.2779E-16  0.2137E-17  0.1937E-18  0.2334E-18  0.1195E-18  0.2040E-22  0.1079E-22
           5   41.36       1.147      0.7213E-13  0.1662E-14  0.1562E-15  0.2402E-14  0.1204E-14  0.7480E-15  0.2994E-15  0.1857E-15  0.7746E-16  0.2333E-16  0.6505E-17  0.4899E-19  0.1421E-18  0.5957E-18  0.2590E-18  0.7413E-19  0.6371E-19  0.4440E-19  0.9059E-19  0.5014E-19  0.2299E-19  0.1099E-20  0.1727E-21  0.5759E-21  0.3474E-23  0.4244E-13  0.4078E-36  0.2888E-18  0.2981E-16  0.5295E-17  0.2638E-15  0.1065E-15  0.2362E-17  0.3319E-16  0.1067E-16  0.3664E-16  0.4125E-17  0.2414E-17  0.3280E-17  0.2619E-17  0.8240E-21  0.1012E-20
           6   51.45       1.251      0.7616E-13  0.2120E-14  0.1562E-15  0.2988E-14  0.1581E-14  0.1030E-14  0.4775E-15  0.3159E-15  0.1610E-15  0.5644E-16  0.1836E-16  0.2733E-18  0.8582E-18  0.3610E-17  0.1697E-17  0.5092E-18  0.4442E-18  0.3225E-18  0.6724E-18  0.3917E-18  0.3147E-18  0.1342E-19  0.2906E-20  0.1264E-19  0.1911E-21  0.4360E-13  0.3877E-36  0.1253E-17  0.2828E-16  0.2438E-16  0.2499E-15  0.1010E-15  0.1084E-16  0.3543E-16  0.1241E-16  0.5654E-16  0.8825E-17  0.1095E-16  0.1614E-16  0.1715E-16  0.8044E-20  0.1692E-19
           7   61.55       1.431      0.8153E-13  0.2557E-14  0.1613E-15  0.3516E-14  0.1928E-14  0.1290E-14  0.6584E-15  0.4559E-15  0.2635E-15  0.1022E-15  0.3661E-16  0.8872E-18  0.2939E-17  0.1234E-16  0.6159E-17  0.1904E-17  0.1687E-17  0.1258E-17  0.2665E-17  0.1593E-17  0.1888E-17  0.7124E-19  0.2023E-19  0.1065E-18  0.2970E-20  0.4546E-13  0.3612E-36  0.3307E-17  0.2637E-16  0.6795E-16  0.2333E-15  0.9409E-16  0.3018E-16  0.4268E-16  0.1712E-16  0.9298E-16  0.1752E-16  0.3008E-16  0.4714E-16  0.6129E-16  0.3839E-19  0.1184E-18
           8   71.64       1.688      0.8795E-13  0.2907E-14  0.1725E-15  0.3907E-14  0.2194E-14  0.1487E-14  0.8090E-15  0.5807E-15  0.3663E-15  0.1526E-15  0.5842E-16  0.2067E-17  0.7112E-17  0.2970E-16  0.1560E-16  0.4908E-17  0.4416E-17  0.3356E-17  0.7205E-17  0.4352E-17  0.6866E-17  0.2310E-18  0.8287E-19  0.5042E-18  0.2178E-19  0.4810E-13  0.3304E-36  0.6462E-17  0.2414E-16  0.1394E-15  0.2134E-15  0.8608E-16  0.6191E-16  0.5614E-16  0.2552E-16  0.1454E-15  0.3002E-16  0.6088E-16  0.1002E-15  0.1518E-15  0.1190E-18  0.4904E-18
           9   81.73       2.000      0.9487E-13  0.3160E-14  0.1883E-15  0.4176E-14  0.2379E-14  0.1620E-14  0.9206E-15  0.6783E-15  0.4549E-15  0.2001E-15  0.8021E-16  0.3854E-17  0.1365E-16  0.5656E-16  0.3107E-16  0.9881E-17  0.9021E-17  0.6947E-17  0.1511E-16  0.9135E-17  0.1794E-16  0.5436E-18  0.2399E-18  0.1641E-17  0.9869E-19  0.5131E-13  0.2978E-36  0.1035E-16  0.2181E-16  0.2331E-15  0.1928E-15  0.7768E-16  0.1036E-15  0.7508E-16  0.3715E-16  0.2082E-15  0.4496E-16  0.1006E-15  0.1724E-15  0.2948E-15  0.2778E-18  0.1442E-17
          10   91.82       2.337      0.1016E-12  0.3314E-14  0.2069E-15  0.4312E-14  0.2481E-14  0.1692E-14  0.9966E-15  0.7502E-15  0.5263E-15  0.2405E-15  0.9960E-16  0.6180E-17  0.2237E-16  0.9190E-16  0.5258E-16  0.1682E-16  0.1556E-16  0.1210E-16  0.2668E-16  0.1603E-16  0.3742E-16  0.1035E-17  0.5475E-18  0.4119E-17  0.3196E-18  0.5479E-13  0.2669E-36  0.1450E-16  0.1955E-16  0.3395E-15  0.1724E-15  0.6959E-16  0.1511E-15  0.9768E-16  0.5091E-16  0.2745E-15  0.6073E-16  0.1449E-15  0.2573E-15  0.4859E-15  0.5352E-18  0.3350E-17
