Rate coefficients (m3/s)
C25   N2    Ionization    15.60 eV                              
C28   O2    Attachment                                          
C42   O2    Ionization    12.06 eV                              
          R#    E/N (Td) Energy (eV)     C25         C28         C42    
           1   10.00      0.9384       0.000       0.000       0.000    
           2   13.94      0.9952       0.000      0.6234E-25   0.000    
           3   17.88       1.027       0.000      0.1106E-22   0.000    
           4   21.82       1.050       0.000      0.2902E-21  0.3687E-26
           5   25.76       1.068       0.000      0.2752E-20  0.2164E-24
           6   29.70       1.085       0.000      0.1418E-19  0.4073E-23
           7   33.64       1.102      0.2583E-25  0.4973E-19  0.3945E-22
           8   37.58       1.123      0.4259E-24  0.1335E-18  0.2414E-21
           9   41.52       1.148      0.3743E-23  0.2969E-18  0.1066E-20
          10   45.45       1.181      0.2164E-22  0.5658E-18  0.3639E-20
          11   49.39       1.225      0.9659E-22  0.9838E-18  0.1047E-19
          12   53.33       1.279      0.3456E-21  0.1557E-17  0.2577E-19
          13   57.27       1.346      0.1059E-20  0.2311E-17  0.5671E-19
          14   61.21       1.424      0.2753E-20  0.3222E-17  0.1122E-18
          15   65.15       1.514      0.6482E-20  0.4319E-17  0.2064E-18
          16   69.09       1.614      0.1380E-19  0.5534E-17  0.3531E-18
          17   73.03       1.729      0.2753E-19  0.6972E-17  0.5799E-18
          18   76.97       1.843      0.5057E-19  0.8387E-17  0.8911E-18
          19   80.91       1.973      0.8847E-19  0.1000E-16  0.1333E-17
          20   84.85       2.089      0.1433E-18  0.1143E-16  0.1879E-17
          21   88.79       2.231      0.2290E-18  0.1319E-16  0.2639E-17
          22   92.73       2.369      0.3512E-18  0.1488E-16  0.3586E-17
          23   96.67       2.505      0.5167E-18  0.1651E-16  0.4736E-17
          24   100.6       2.633      0.7346E-18  0.1802E-16  0.6097E-17
          25   104.5       2.769      0.1023E-17  0.1962E-16  0.7749E-17
          26   108.5       2.906      0.1397E-17  0.2121E-16  0.9723E-17
          27   112.4       3.033      0.1855E-17  0.2263E-16  0.1194E-16
          28   116.4       3.154      0.2417E-17  0.2395E-16  0.1446E-16
          29   120.3       3.292      0.3127E-17  0.2547E-16  0.1747E-16
          30   124.2       3.416      0.3962E-17  0.2678E-16  0.2078E-16
          31   128.2       3.531      0.4940E-17  0.2795E-16  0.2442E-16
          32   132.1       3.637      0.6064E-17  0.2899E-16  0.2835E-16
          33   136.1       3.740      0.7362E-17  0.2996E-16  0.3268E-16
          34   140.0       3.851      0.8887E-17  0.3101E-16  0.3756E-16
          35   143.9       3.966      0.1065E-16  0.3208E-16  0.4300E-16
          36   147.9       4.086      0.1270E-16  0.3319E-16  0.4908E-16
          37   151.8       4.181      0.1491E-16  0.3399E-16  0.5527E-16
          38   155.8       4.274      0.1736E-16  0.3474E-16  0.6191E-16
          39   159.7       4.350      0.1998E-16  0.3526E-16  0.6869E-16
          40   163.6       4.447      0.2302E-16  0.3602E-16  0.7643E-16
          41   167.6       4.542      0.2637E-16  0.3674E-16  0.8470E-16
          42   171.5       4.656      0.3025E-16  0.3765E-16  0.9417E-16
          43   175.5       4.745      0.3425E-16  0.3826E-16  0.1035E-15
          44   179.4       4.828      0.3857E-16  0.3879E-16  0.1133E-15
          45   183.3       4.907      0.4323E-16  0.3927E-16  0.1235E-15
          46   187.3       4.963      0.4795E-16  0.3947E-16  0.1335E-15
          47   191.2       5.045      0.5338E-16  0.3994E-16  0.1450E-15
          48   195.2       5.128      0.5928E-16  0.4042E-16  0.1573E-15
          49   199.1       5.210      0.6555E-16  0.4087E-16  0.1700E-15
          50   203.0       5.293      0.7227E-16  0.4131E-16  0.1835E-15
          51   207.0       5.383      0.7964E-16  0.4182E-16  0.1980E-15
          52   210.9       5.454      0.8709E-16  0.4212E-16  0.2123E-15
          53   214.8       5.524      0.9497E-16  0.4240E-16  0.2272E-15
          54   218.8       5.594      0.1033E-15  0.4266E-16  0.2427E-15
          55   222.7       5.662      0.1121E-15  0.4290E-16  0.2587E-15
          56   226.7       5.729      0.1214E-15  0.4312E-16  0.2755E-15
          57   230.6       5.796      0.1311E-15  0.4333E-16  0.2927E-15
          58   234.5       5.863      0.1414E-15  0.4354E-16  0.3108E-15
          59   238.5       5.933      0.1522E-15  0.4377E-16  0.3295E-15
          60   242.4       6.003      0.1636E-15  0.4399E-16  0.3491E-15
          61   246.4       6.072      0.1754E-15  0.4420E-16  0.3692E-15
          62   250.3       6.141      0.1878E-15  0.4439E-16  0.3901E-15
          63   254.2       6.209      0.2008E-15  0.4456E-16  0.4115E-15
          64   258.2       6.275      0.2141E-15  0.4471E-16  0.4335E-15
          65   262.1       6.339      0.2280E-15  0.4484E-16  0.4561E-15
          66   266.1       6.397      0.2422E-15  0.4492E-16  0.4787E-15
          67   270.0       6.463      0.2573E-15  0.4505E-16  0.5029E-15
          68   273.9       6.526      0.2727E-15  0.4516E-16  0.5273E-15
          69   277.9       6.588      0.2887E-15  0.4525E-16  0.5524E-15
          70   281.8       6.649      0.3053E-15  0.4533E-16  0.5781E-15
          71   285.8       6.709      0.3223E-15  0.4540E-16  0.6043E-15
          72   289.7       6.768      0.3398E-15  0.4545E-16  0.6310E-15
          73   293.6       6.826      0.3578E-15  0.4549E-16  0.6583E-15
          74   297.6       6.885      0.3764E-15  0.4553E-16  0.6863E-15
          75   301.5       6.945      0.3957E-15  0.4558E-16  0.7153E-15
          76   305.5       7.006      0.4157E-15  0.4564E-16  0.7450E-15
          77   309.4       7.068      0.4363E-15  0.4569E-16  0.7755E-15
          78   313.3       7.132      0.4576E-15  0.4577E-16  0.8070E-15
          79   317.3       7.192      0.4793E-15  0.4580E-16  0.8387E-15
          80   321.2       7.252      0.5016E-15  0.4584E-16  0.8710E-15
          81   325.2       7.311      0.5244E-15  0.4587E-16  0.9040E-15
          82   329.1       7.370      0.5477E-15  0.4589E-16  0.9375E-15
          83   333.0       7.429      0.5716E-15  0.4591E-16  0.9717E-15
          84   337.0       7.488      0.5961E-15  0.4593E-16  0.1006E-14
          85   340.9       7.545      0.6209E-15  0.4593E-16  0.1042E-14
          86   344.8       7.602      0.6464E-15  0.4593E-16  0.1078E-14
          87   348.8       7.659      0.6724E-15  0.4592E-16  0.1114E-14
          88   352.7       7.715      0.6990E-15  0.4591E-16  0.1151E-14
          89   356.7       7.771      0.7261E-15  0.4589E-16  0.1189E-14
          90   360.6       7.827      0.7539E-15  0.4586E-16  0.1227E-14
          91   364.5       7.882      0.7821E-15  0.4584E-16  0.1266E-14
          92   368.5       7.933      0.8101E-15  0.4580E-16  0.1304E-14
          93   372.4       7.991      0.8398E-15  0.4578E-16  0.1345E-14
          94   376.4       8.048      0.8700E-15  0.4577E-16  0.1386E-14
          95   380.3       8.104      0.9006E-15  0.4575E-16  0.1428E-14
          96   384.2       8.161      0.9317E-15  0.4572E-16  0.1470E-14
          97   388.2       8.218      0.9634E-15  0.4571E-16  0.1512E-14
          98   392.1       8.275      0.9956E-15  0.4569E-16  0.1556E-14
          99   396.1       8.332      0.1029E-14  0.4567E-16  0.1600E-14
         100   400.0       8.389      0.1062E-14  0.4564E-16  0.1645E-14


