# Height (km)	density (cm^-3)
-14.1	6.44E+19
-12.5	6.29E+19
-9.9	6.10E+19
-7.4	5.90E+19
-4.9	5.72E+19
-2.4	5.55E+19
0	5.38E+19
2.4	5.21E+19
4.7	5.05E+19
7	4.90E+19
9.3	4.75E+19
11.6	4.60E+19
13.8	4.46E+19
16	4.33E+19
18.1	4.20E+19
20.2	4.07E+19
22.3	3.95E+19
24.4	3.83E+19
26.4	3.71E+19
28.4	3.60E+19
30.3	3.49E+19
32.3	3.38E+19
34.2	3.27E+19
37.9	3.07E+19
41.6	2.86E+19
45.1	2.67E+19
48.6	2.49E+19
52	2.31E+19
55.4	2.13E+19
58.7	1.97E+19
62	1.82E+19
66.9	1.61E+19
71.6	1.43E+19
76.3	1.27E+19
80.9	1.12E+19
85.5	9.87E+18
90	8.69E+18
94.4	7.63E+18
100.4	6.37E+18
106.3	5.33E+18
112.2	4.41E+18
118.1	3.64E+18
124.1	2.99E+18
130.2	2.45E+18
136.4	1.98E+18
142.8	1.60E+18
151	1.21E+18
159.8	9.17E+17
168.9	6.91E+17
178.7	5.14E+17
189	3.88E+17
199.9	2.94E+17
211.3	2.24E+17
223.1	1.72E+17
235.3	1.33E+17
247.7	1.05E+17
260.2	8.16E+16
273	6.41E+16
285.8	5.12E+16
298.6	4.05E+16
311.4	3.21E+16
324.3	2.52E+16
337.4	1.98E+16
350.7	1.57E+16
363.9	1.27E+16
376.7	1.04E+16
380	1.01E+16
400	7.44E+15
420	5.47E+15
440	4.02E+15
460	2.96E+15
480	2.17E+15
500	1.60E+15
520	1.17E+15
540	8.63E+14
560	6.35E+14
580	4.66E+14
600	3.43E+14
620	2.52E+14
640	1.85E+14
660	1.36E+14
680	1.00E+14
700	7.36E+13
720	5.41E+13
740	3.98E+13
760	2.93E+13
780	2.15E+13
800	1.58E+13
820	1.16E+13
840	8.54E+12
860	6.28E+12
880	4.62E+12
900	3.39E+12
920	2.50E+12
940	1.83E+12
960	1.35E+12
980	9.91E+11
1000	7.29E+11
1020	5.36E+11
1040	3.94E+11
1060	2.90E+11
1080	2.13E+11
1100	1.56E+11
1120	1.15E+11
1140	8.46E+10
1160	6.22E+10
1180	4.57E+10
1200	3.36E+10
1220	2.47E+10
1240	1.82E+10
1260	1.33E+10
1280	9.81E+09
1300	7.21E+09
1320	5.30E+09
1340	3.90E+09
1360	2.87E+09
1380	2.11E+09
1400	1.55E+09
1420	1.14E+09
1440	8.37E+08
1460	6.15E+08
1480	4.52E+08
1500	3.33E+08
1520	2.44E+08
1540	1.80E+08
1560	1.32E+08
1580	9.71E+07
1600	7.14E+07
1620	5.25E+07
1640	3.86E+07
1660	2.84E+07
1680	2.09E+07
1700	1.53E+07
1720	1.13E+07
1740	8.29E+06
1760	6.09E+06
1780	4.48E+06
1800	3.29E+06
1820	2.42E+06
1840	1.78E+06
1860	1.31E+06
1880	9.61E+05
1900	7.07E+05
1920	5.20E+05
1940	3.82E+05
1960	2.81E+05
1980	2.06E+05
2000	1.52E+05
2020	1.12E+05
